Strike 	Dip
264.26	80.66
150.18	74.39
128.24	35.1
44.07	44.81
161.32	62.53
86.29	75.09
32.22	54.87
252.59	51.73
241.32	29.34
108.96	41.08
175.63	64.24
6.88	79.6
62.22	64.88
107.23	1.68
249.39	60.73
60.39	39.47
263.9	39.4
18.52	10.53
162.4	73.32
149.88	29.24
104.09	22.16
161.32	30.84
149.95	33.81
154.13	49.19
136.09	50.57
269.67	35.62
151.6	35.83
101.74	46.38
112.03	59.18
227.47	85.58
150.9	65.01
158.56	36.01
42.81	74.87
75.86	12.09
263.39	5.44
146.31	7.58
217.99	14.75
142.12	29.18
45.46	27.16
158.73	1.05
64.17	48.59
83.53	8.58
133.42	13.19
122.22	56.8
171.43	77.34
48.46	87.68
119.88	51.38
0.65	89.72
14.56	49.82
132.15	46.39
5.5	29.76
206.78	38.7
263.76	44.26
172.89	6.39
33.8	79.9
120.26	5.82
128.8	39.26
236.27	74.4
226.68	35.51
204.39	55.21
3.86	73.68
123.97	79.76
98.1	83.8
63.09	17.17
22.58	23.27
148.13	80.81
154.36	53.4
62.24	45.35
123.92	55.15
125.47	73.75
79.53	47.87
160.54	18.19
161.96	40.85
139.87	38.51
102.1	86.94
114.77	55.8
25.06	62.59
101.11	64.81
145.6	31.22
56.74	46.53
205.19	50.1
168.61	14.08
258.71	50.59
101.28	62.53
27.05	38.38
128.03	75.26
129.95	65.82
190.37	32.4
62.44	40.88
122.7	34.78
5.93	69.8
145.32	66.08
11.16	38.73
68.43	62.44
99.77	85.07
74.67	70.58
225.13	63.5
96.5	9.84
249.7	35.09
139.58	53.18
254.77	41.34
176.65	4.53
153.4	20.58
14.06	75.08
151.85	1.41
160.25	77.73
114.48	7.03
1.72	60.21
170.65	45.02
150.42	19.62
213.98	51.45
34.01	11
190.99	60.4
153.12	53.96
92.42	5.04
126.78	5.07
49.24	13.73
239.76	1.77
90.41	39.17
76.48	74.9
62.77	55.57
75.93	46.81
187.26	77.75
26.09	8.79
192.51	81.72
79.69	9.72
102.87	46.53
153.31	12.88
169.83	50.34
80.45	0.41
144.98	69
32.8	76.38
128.66	82.51
159.03	88.83
175.83	45.46
177.43	24.43
240.27	9.07
6.86	45.71
185.58	52.7
157.92	68.66
13.5	7.47
122.8	59.54
117.44	46.53
156.01	15.39
106.77	84.47
63.26	53.14
142	39.66
143.14	84.77
154.45	59.03
138.88	40.68
250.26	75.57
165.22	47.94
165.34	49.85
175.04	61.21
132.98	33.05
128.63	21.54
72.05	52.1
75.14	78.02
148.3	36.61
187.3	10.14
36.08	39.95
148.32	27.02
59.82	36.12
213.09	75
209.85	36.33
2.32	35.12
130.85	32.44
119.61	12.62
104.67	23.41
223.18	7.81
5.32	38.65
24.51	23.16
132.92	26.78
248.34	38.24
142.4	10.73
82.61	44.56
140.15	63.58
106.1	21.92
143.03	70.66
105.8	6.67
169.58	35.45
98.1	0.31
267.73	19.86
168.72	0.12
128.09	17.03
129.49	12.82
112.89	24.13
55.65	15.74
71.41	12.48
41.69	53.9
184.86	81.1
136.04	84.54
187.91	19.91
245.83	43.44
260.19	33.84
159.13	47.14
139.99	23.84
160.66	6.15
123.78	39.27
99.15	15.65
100.92	2.35
220.01	85.92
84.55	38.75
51.64	86.54
151.72	68.62
176.85	0.66
97.22	61.2
35.18	63.54
144	58.06
120.99	49.71
4.37	19.63
106	69.51
181.78	20.52
177.4	33.38
69.26	80.18
157.61	77.07
39.32	36.22
175.08	28.62
52.09	54.78
156.03	81.92
163.46	81.82
69.23	53.24
97.05	29.93
29.11	76.78
62.75	39.82
7.3	81.39
160.94	2.99
205.82	47.92
64.77	64.48
229.6	16.14
50.83	30.29
186.88	16.89
52.84	28.97
201.07	36.35
181.83	49.37
45.86	4.39
167.77	49.75
194.55	24.73
251.75	21.74
27.92	21.88
151.66	13.87
67.91	86.08
210.06	84.21
186.79	73.68
150.21	65.54
220.31	15.82
266.35	32.43
95.19	16.99
228.34	0.11
121.69	28.48
145.71	62.97
161.95	56.27
56.5	48.88
179.53	39.51
207.21	25.87
194.39	45.15
24.67	68.54
102.26	68.62
122.38	51.85
130.21	67.29
139.07	58.1
154.31	11.09
88.26	45.4
158.3	31.25
88.2	8.29
143.14	13.31
109.79	17.84
216.26	60.5
111.8	38.84
244.66	62.5
160.8	23.11
119.8	0.88
203.54	47.91
226.45	25.15
266.01	85.16
90.19	81.58
221.56	35.34
130.52	2.24
266.38	60.43
99.96	75.35
82.63	87.43
198.49	5.12
172.02	40.53
89.31	52.42
234.31	61.8
116.88	64.75
214.26	58.5
175.91	65.42
120.96	33.65
178.82	52.34
149.91	10.45
120.05	5.19
135.35	88.18
147.94	25.63
172.71	53.55
230.67	86.59
263.63	16.72
186.85	17.37
119.32	30.75
244.19	83.96
118.83	35.16
96.11	24.59
133.51	13.68
220.58	35.74
84.35	33.73
214.15	11.8
165.39	39.15
108.82	8.24
136.76	55.32
101.52	0.99
131.3	51.59
40.47	71.08
107.83	21.18
86.25	40.32
159.3	51.24
134.31	5.53
163.98	44.67
142.75	57.81
158.07	19.91
105.35	75.34
138.67	87.4
11.47	76.17
103.89	45.54
160.26	25.1
89.68	67.2
102.89	21.32
70.27	86.16
134.62	55.82
86.53	54.02
217.08	15.53
224.61	8.13
7.31	22.97
165.05	77.27
113.39	82
140.51	62.97
60.13	65.27
164.15	20.69
251.26	51.84
119.55	72.96
128.06	36.35
141.13	88.96
149.93	8.1
133.55	28.88
116.54	46.03
108.75	5.45
245.23	65.31
172.32	50.09
175.62	47.64
112.83	74.7
219.76	77.29
246.39	71.01
264.38	28.6
219.22	40.7
192.8	67.7
94.82	9.89
153.94	9.88
53.49	24.29
138.22	47.22
101.12	87.54
248.09	63.94
18.47	28.07
16.39	26.23
29.86	76.53
78.14	82.05
143.35	57.53
99.08	22.98
213.19	7.98
111.25	75.44
217.48	52.62
35.24	85.33
70.57	5.49
109.53	52.62
153.76	25.66
148.61	74.5
29.1	17.19
233.46	39.83
132.54	35.41
265.83	74.39
104.39	60.92
164.49	18.68
269.82	28.63
13.63	12.04
59.23	60.43
77.34	51.39
185.02	15.28
204.55	13.29
126.08	42.85
154.12	81.73
39.47	49.7
110.41	2.96
97.88	4.85
30.91	72.46
153.24	40.62
165.22	34.44
235.86	71.07
153.14	32.79
78.65	47.91
238.37	64.05
127.44	78.43
178.4	29.58
175.06	58.51
112.27	87.74
156.31	6.84
125	52.83
17.98	37.25
138.28	27.82
166.54	23.75
232.18	68.29
115.72	89.57
177.3	16.79
109.35	70.3
69.02	17.62
94.78	89.31
232.99	72.2
160.8	38.18
123.61	65.6
20.65	44.85
74.18	72.81
126.6	32.09
268.34	6.59
29.55	53.19
17.04	81.92
112.34	17.44
17.37	38.91
106.69	67.42
91.95	3.53
184.11	85.17
137.19	68.73
122.36	50.29
119.11	16.55
189.81	44.82
235.85	46.61
102.16	89.48
129.3	76.94
207.29	86.62
31.72	61.1
15.83	36.32
178.67	84.15
93.72	43.15
107.44	20.86
150.45	35.67
127.25	63.46
99.4	50.27
172.7	68.1
164.61	89.59
191.3	86.62
13.67	48.16
159.31	86.75
110.4	10.41
52.75	4.63
112.17	27.39
190.86	52.22
31.53	47.79
128.83	81.11
176.85	48.65
127.73	38.88
136.04	48.84
107.83	64.12
84.68	1.5
230.57	72.08
197.63	12.83
174.36	43.06
108.48	23.12
116.24	33.22
121.87	59.56
197.41	15.26
249.48	25.09
156.14	17.84
137.55	17.56
170.18	29.42
129.73	79.23
132.3	42.4
140.66	36.36
28.37	16.13
145.37	87.2
179.69	36.67
119.95	76
176.41	55.38
174.54	33.89
174.58	78.95
259.42	70.64
222.09	41.85
121.04	73.26
41.92	80.86
42.91	38.63
156.61	30.09
125.26	53.7
194.17	81.18
42.36	63.19
164.17	33.97
121.2	66.15
187.9	85.87
164.04	48.85
49.78	48.61
108.64	28
172.42	6.41
141.1	16.38
84.41	8.37
144.66	41.71
191.5	0.84
126.22	82.35
15.86	57.85
175.45	0.13
101.11	2.73
122.94	18.76
55.91	40.95
127.74	11.45
130.42	0.78
192.39	65.44
14.97	31.87
127.27	70.24
257.19	39.3
65.69	39.29
160.11	4.43
182.92	4.47
65.75	8.2
145.98	53.46
129.51	21.7
246.15	75.72
157.49	77.15
5.82	86.73
197.22	44
85.54	19.83
186.82	20.36
52.56	48.31
8.26	68.59
103.4	31.28
152.39	41.51
64.64	57.54
72.63	82.56
129.55	14.54
111.39	64.41
23.69	52
188.18	39
160.72	79.58
135.12	35.37
136.85	16.11
123.25	57
92.82	56.16
62.32	29.51
146.01	72.27
170.25	89.95
101.24	88.29
129.17	11.43
137.44	20.9
135.54	2.13
138.35	54.67
125.49	9.97
141.13	36.67
150.57	79.57
160.65	49.33
24.29	33.21
23.91	18.75
168.32	39.68
0.38	86.06
231.45	11.16
163.16	42.37
110.07	77.12
156.4	3.91
166.33	62.25
117.84	88.11
238.97	25.49
164.42	12.04
110.8	61.68
22.83	81.85
149.83	54.98
134.1	81
265.66	17.41
151.36	67.9
2.81	31.16
52.85	37.68
116.64	14.01
156.27	73.71
54.86	56.24
263.82	66.47
54.79	72.46
133.44	6.05
145.57	85.57
47.28	44.78
148.01	67.96
182.92	66.82
223.6	74.8
36.28	14.09
156.79	41.16
15.89	55.63
101.03	83.9
209.67	75.16
125.1	80.59
30.71	52.43
17.72	52.45
72.93	76.94
62.15	3.14
39.46	79.69
110.99	36.7
177.32	3.27
62.76	67.15
64.57	13.93
134.95	12.95
98.8	54.54
14.47	22.9
24.31	29.17
145.33	36.16
254.5	36.57
246.86	34.76
74.84	54.88
176.57	15.02
185	16.93
183.36	8.52
176.63	29.09
177.73	69.26
128.13	21.07
155.36	66.63
76.77	62.35
166.38	74.17
125.47	74.52
206.49	26.4
153	27.84
148.89	47.07
149.76	29.28
231.98	74.87
95.96	72.93
162.97	50.13
145.29	23.67
253.24	61.25
104.72	21.03
154.7	41.08
103.16	34.61
201.31	48.47
179.5	89.25
133.27	67.97
99.02	88.24
27.3	21.13
106.72	47.57
53.6	4.63
59.43	68.12
155.07	54.18
1.94	77.15
97.39	88.94
242.52	83.65
145.33	36.86
245.74	0.03
148.86	48.68
241.6	18.7
196.08	19.74
117.86	29.32
68.41	8.64
2.74	67.28
180.7	67.37
172.32	48.9
113.11	30.43
186.24	74.91
151.63	49.73
167.48	86.18
141.14	80.35
60.86	32.09
50.67	49.18
203.81	31.2
24.27	56.05
203.23	71.7
194.07	67.13
216.82	11.3
92.03	74.02
138.84	2.26
252.32	37.3
69.83	65.83
111.61	70.32
222.03	33.06
137.23	67.04
37.83	80.3
268.92	21.83
170.7	11.66
144.88	20.26
127.8	31.5
49.41	25.84
141.19	83.47
99.05	4.62
61.6	53.34
156.28	14.66
171.28	75.46
43.33	15.08
212.96	45.2
174.32	89.94
115.57	31.99
153.67	4.24
254.66	19.23
5.52	35.81
242.85	30.03
170.56	20.66
44.48	84.25
121.5	61.49
140.44	86.59
155.02	39.42
106.22	84.63
170.34	0.53
35.08	54.93
147.82	72.1
48.19	20.97
135.84	83.92
97.79	68.69
237.81	74.38
198.2	51.61
178.51	71.33
202.72	29.61
47.99	20.11
132.22	28.11
117.18	52.61
100.82	74.69
9.03	26.14
179.51	36.23
72.59	77.59
171.98	55.33
199.6	89.21
265	18.33
100.8	74.45
102.84	60.83
121.35	22.41
198.75	42.82
266.09	35.92
114.1	53.95
248.18	72.05
96.54	9.46
156.18	73.93
192.15	75.7
102.29	31.91
228.73	38.71
233.64	51.5
135.34	63.07
139.63	66.82
168.41	68.21
155.57	35.02
105.06	38.64
128.5	86.07
131.92	51.57
248.28	76.47
37.6	24.87
57.83	56.01
264.37	52.95
250.41	86.71
153.59	7.73
265.79	45.04
186.06	46.94
31.21	8.11
148.46	81.42
177.9	79.6
16.38	39.51
154.86	70.36
100.02	13.36
58.17	55.78
126.95	23.46
180.19	40.11
120.07	75.96
108.65	17.66
120.09	27.35
94.26	43.5
119.73	30.4
169.05	71.86
268.62	88.87
37.63	14.31
259.65	21.32
34.72	63.2
229.16	33.79
73.69	87.63
58.83	87.51
168.38	57.93
135.24	77.41
21.21	36.17
171.4	56.87
191.83	88.67
159.76	50.35
93.53	84.02
213.56	64.83
242.04	43.56
187.54	57.51
105.36	79.89
46.15	17.89
163.56	35.58
172.62	89.3
170.74	36.21
6.86	59.3
152.29	81.12
81.9	89.58
134.54	58.78
175.12	9.76
153.76	3.25
208.67	55.63
186.09	51.04
246.41	86.58
128.84	67.15
155.6	59.63
125.67	47.1
86.31	23.39
159.57	86.58
232.52	48.62
125.67	2.72
105.9	62.67
110.63	46.77
188.1	5.31
22.3	80.1
154.43	29.72
32.02	20.67
165.65	10.26
93.65	27.98
236.29	20.56
136.41	58.68
126.55	5.95
50.71	24.79
109.66	25.36
90.46	79.21
65.42	39.99
269.12	68.03
202.18	54.3
84.83	70.49
232	10.25
139.52	88.07
50.4	76.37
243.85	4.56
240.3	41.96
166.89	29.31
132.6	56.72
33.58	20.73
246.97	52.19
134.92	54.28
173.01	53.99
142.73	40.36
209.93	3.19
53.38	46.24
179.94	36.7
210.68	9.72
26.09	41.39
108.81	40.58
262.49	49.6
107.75	72.49
28.95	63.08
133.01	78.5
39.83	4.7
182.34	19.77
59	41.37
87.24	86.27
160.11	71.1
260.18	40.67
27.99	30.01
211.61	5.32
176.07	66.68
253.5	45.61
101.49	17.99
38.47	38.45
148.56	15.18
11.34	67.65
172.94	33.15
166.01	84.76
134.85	1.55
122.62	74.62
147.76	56.39
107.12	48.49
35.56	58.55
72.48	65.4
176.73	8.5
167.42	78.98
218.23	1.29
11.34	26.49
173.18	16.19
139.59	83.37
211.22	6.14
139.9	52.3
121.76	57.34
41.82	58.61
200.43	77.82
